"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
84;57;81;83,33;66,67;61,11;5,56;"Gizmodo.fr";"Misc";"http://www.gizmodo.fr/2012/02/25/le-meilleur-antivol-du-monde-date-des-annees-1960.html";81,82;0;0;0
85;130;1318;59,79;46,39;37,11;9,28;"U-m-p.org";"Politic";"http://www.u-m-p.org/actualites/espace-presse/najat-vallaud-belkacem-porte-parole-de-loutrance-53732602";86,49;0;83,78;2,7
86;59;76;72;88;64;24;"Lesinrocks.com";"Cinema";"http://www.lesinrocks.com/2012/02/26/cinema/le-cinema-francais-va-t-il-si-bien-112154/";100;0;0;0
87;57;64;81,82;0;0;0;"Jeuxvideo.fr";"Web/it";"http://www.jeuxvideo.fr/jeu-concours/700-cles-pour-le-jeu-diablo-3-sur-pc-a-gagner-4872.html#.T0vbpwJn7dw.twitter";92;0;88;0
88;185;886;60;9;7;2;"Rue89.com";"Politic";"http://www.rue89.com/2012/02/27/je-suis-musulmane-madame-et-je-suis-chez-moi-229735";66,67;8,33;25;16,67
89;578;3374;64,46;15,29;13,22;2,07;"Rue89.com";"Politic";"http://www.rue89.com/2012/02/25/dans-ce-lycee-noirs-et-blancs-ne-dejeunent-pas-ensemble-229358";33,33;52,38;0;0
90;49;124;42,86;14,29;9,52;4,77;"Pulse.me";"Unknow";"http://www.pulse.me/s/6lH7k";80;0;0;0
91;344;902;65,77;18,79;16,78;2,01;"Rue89.com";"Web/it";"http://www.rue89.com/2012/02/25/pourquoi-et-surtout-comment-ils-ont-quitte-facebook-229643";64,29;0;64,29;14,29
92;101;152;17,54;0;0;0;"Rue89.com";"Misc";"http://blogs.rue89.com/droles-de-gammes/2012/02/26/le-trompettiste-maurice-andre-est-mort-le-monde-des-cuivres-en-deuil-0";64,52;6,45;0;0
93;202;690;61,86;14,43;8,25;6,18;"Rue89.com";"Politic";"http://blogs.rue89.com/dessous-assiette/2012/02/26/viande-halal-le-boucher-des-stars-defend-legorgement-226721";100;0;82,35;0
